ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
ABR0001,2023-04-21,Sur,Postre,Flan,3,231.69,695.07
ABR0002,2023-04-12,Norte,Postre,Brownie,5,41.77,208.85
ABR0003,2023-04-01,Norte,Postre,Pastel,5,134.52,672.6
ABR0004,2023-04-19,Centro,Entrada,Pan de ajo,1,202.54,202.54
ABR0005,2023-04-10,Norte,Postre,Helado,1,171.6,171.6
ABR0006,2023-04-01,Oeste,Entrada,Pan de ajo,3,142.75,428.25
ABR0007,2023-04-04,Oeste,Entrada,Pan de ajo,4,154.94,619.76
ABR0008,2023-04-05,Este,Bebida,Té,3,43.4,130.2
ABR0009,2023-04-06,Norte,Bebida,Café,4,53.02,212.08
ABR0010,2023-04-28,Oeste,Postre,Brownie,1,81.16,81.16
ABR0011,2023-04-07,Norte,Entrada,Pan de ajo,3,85.58,256.74
ABR0012,2023-04-22,Este,Bebida,Té,5,172.71,863.55
ABR0013,2023-04-29,Centro,Bebida,Té,5,81.8,409.0
ABR0014,2023-04-26,Este,Bebida,Refresco,5,246.77,1233.85
ABR0015,2023-04-13,Oeste,Comida,Ensalada,2,232.39,464.78
ABR0016,2023-04-23,Centro,Bebida,Cerveza,5,143.76,718.8
ABR0017,2023-04-07,Centro,Bebida,Cerveza,1,62.06,62.06
ABR0018,2023-04-04,Centro,Comida,Pizza,1,80.6,80.6
ABR0019,2023-04-01,Este,Comida,Pasta,4,114.91,459.64
ABR0020,2023-04-01,Oeste,Comida,Hamburguesa,5,230.21,1151.05
ABR0021,2023-04-24,Oeste,Entrada,Pan de ajo,1,114.97,114.97
ABR0022,2023-04-15,Centro,Comida,Tacos,4,71.66,286.64
ABR0023,2023-04-09,Oeste,Postre,Pastel,2,231.8,463.6
ABR0024,2023-04-19,Oeste,Postre,Flan,1,172.97,172.97
ABR0025,2023-04-05,Norte,Comida,Ensalada,5,90.8,454.0
ABR0026,2023-04-07,Sur,Bebida,Agua,5,98.05,490.25
ABR0027,2023-04-26,Este,Comida,Hamburguesa,1,30.8,30.8
ABR0028,2023-04-19,Sur,Entrada,Nachos,3,30.77,92.31
ABR0029,2023-04-21,Centro,Entrada,Aros de cebolla,3,213.5,640.5
ABR0030,2023-04-26,Este,Comida,Ensalada,4,125.23,500.92
ABR0031,2023-04-22,Sur,Postre,Pastel,4,46.24,184.96
ABR0032,2023-04-27,Sur,Postre,Pastel,2,185.97,371.94
ABR0033,2023-04-24,Este,Comida,Ensalada,1,149.16,149.16
ABR0034,2023-04-06,Centro,Postre,Brownie,5,39.23,196.15
ABR0035,2023-04-23,Norte,Postre,Helado,5,124.58,622.9
ABR0036,2023-04-16,Oeste,Postre,Helado,5,113.14,565.7
ABR0037,2023-04-29,Centro,Entrada,Nachos,4,115.45,461.8
ABR0038,2023-04-21,Oeste,Bebida,Té,5,125.36,626.8
ABR0039,2023-04-12,Oeste,Comida,Ensalada,4,146.41,585.64
ABR0040,2023-04-17,Este,Comida,Tacos,5,36.74,183.7
ABR0041,2023-04-19,Oeste,Bebida,Agua,1,129.78,129.78
ABR0042,2023-04-02,Norte,Entrada,Aros de cebolla,5,35.14,175.7
ABR0043,2023-04-26,Este,Bebida,Refresco,2,237.52,475.04
ABR0044,2023-04-28,Oeste,Postre,Brownie,5,216.84,1084.2
ABR0045,2023-04-20,Oeste,Bebida,Café,1,33.23,33.23
ABR0046,2023-04-18,Centro,Comida,Pasta,2,111.08,222.16
