ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
AGO0001,2023-08-11,Sur,Bebida,Té,1,189.36,189.36
AGO0002,2023-08-07,Centro,Bebida,Refresco,5,221.56,1107.8
AGO0003,2023-08-06,Oeste,Bebida,Agua,2,56.01,112.02
AGO0004,2023-08-06,Este,Entrada,Aros de cebolla,5,63.51,317.55
AGO0005,2023-08-17,Este,Bebida,Refresco,5,160.12,800.6
AGO0006,2023-08-24,Sur,Postre,Brownie,2,95.37,190.74
AGO0007,2023-08-29,Centro,Comida,Tacos,2,166.64,333.28
AGO0008,2023-08-10,Centro,Bebida,Cerveza,2,104.1,208.2
AGO0009,2023-08-26,Oeste,Entrada,Aros de cebolla,1,124.18,124.18
AGO0010,2023-08-08,Oeste,Postre,Brownie,5,57.52,287.6
AGO0011,2023-08-09,Centro,Comida,Tacos,2,118.51,237.02
AGO0012,2023-08-19,Centro,Comida,Ensalada,2,174.95,349.9
AGO0013,2023-08-28,Oeste,Entrada,Pan de ajo,1,119.87,119.87
AGO0014,2023-08-08,Norte,Entrada,Pan de ajo,4,103.31,413.24
AGO0015,2023-08-11,Este,Postre,Pastel,3,98.12,294.36
AGO0016,2023-08-17,Norte,Postre,Pastel,3,186.38,559.14
AGO0017,2023-08-04,Sur,Comida,Pizza,5,136.08,680.4
AGO0018,2023-08-24,Este,Entrada,Nachos,4,32.8,131.2
AGO0019,2023-08-24,Este,Entrada,Nachos,1,171.32,171.32
AGO0020,2023-08-04,Oeste,Postre,Pastel,1,79.67,79.67
AGO0021,2023-08-26,Oeste,Bebida,Refresco,3,62.25,186.75
AGO0022,2023-08-28,Norte,Comida,Pasta,4,73.62,294.48
AGO0023,2023-08-17,Norte,Bebida,Café,3,38.87,116.61
AGO0024,2023-08-13,Sur,Postre,Flan,4,90.51,362.04
AGO0025,2023-08-01,Este,Comida,Tacos,1,138.54,138.54
AGO0026,2023-08-12,Centro,Entrada,Nachos,3,200.38,601.14
AGO0027,2023-08-25,Oeste,Comida,Ensalada,1,120.98,120.98
AGO0028,2023-08-19,Sur,Comida,Ensalada,5,168.57,842.85
AGO0029,2023-08-15,Oeste,Comida,Ensalada,2,182.92,365.84
AGO0030,2023-08-13,Norte,Postre,Pastel,4,88.96,355.84
AGO0031,2023-08-09,Oeste,Postre,Pastel,1,163.1,163.1
AGO0032,2023-08-15,Centro,Postre,Pastel,5,105.75,528.75
AGO0033,2023-08-23,Sur,Comida,Tacos,4,226.94,907.76
AGO0034,2023-08-14,Oeste,Postre,Brownie,2,177.2,354.4
AGO0035,2023-08-27,Este,Comida,Ensalada,4,40.32,161.28
AGO0036,2023-08-14,Norte,Comida,Hamburguesa,5,92.71,463.55
AGO0037,2023-08-14,Centro,Comida,Tacos,3,100.17,300.51
AGO0038,2023-08-13,Oeste,Postre,Pastel,2,248.78,497.56
AGO0039,2023-08-25,Centro,Bebida,Cerveza,5,47.92,239.6
AGO0040,2023-08-06,Centro,Bebida,Té,2,114.18,228.36
AGO0041,2023-08-14,Oeste,Bebida,Té,5,111.78,558.9
AGO0042,2023-08-12,Este,Entrada,Pan de ajo,1,238.67,238.67
AGO0043,2023-08-16,Oeste,Comida,Pizza,2,116.18,232.36
AGO0044,2023-08-04,Sur,Postre,Pastel,4,243.58,974.32
AGO0045,2023-08-25,Norte,Entrada,Pan de ajo,2,162.07,324.14
AGO0046,2023-08-08,Norte,Postre,Brownie,1,59.07,59.07
AGO0047,2023-08-11,Oeste,Entrada,Aros de cebolla,1,88.0,88.0
AGO0048,2023-08-09,Oeste,Comida,Ensalada,5,137.22,686.1
AGO0049,2023-08-13,Centro,Entrada,Nachos,1,161.25,161.25
AGO0050,2023-08-18,Norte,Comida,Pasta,3,214.6,643.8
AGO0051,2023-08-23,Este,Comida,Hamburguesa,2,73.93,147.86
