ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
DIC0001,2023-12-12,Oeste,Postre,Brownie,4,87.97,351.88
DIC0002,2023-12-08,Sur,Postre,Pastel,1,187.96,187.96
DIC0003,2023-12-19,Oeste,Comida,Pasta,5,243.85,1219.25
DIC0004,2023-12-21,Norte,Postre,Brownie,3,116.27,348.81
DIC0005,2023-12-06,Sur,Comida,Hamburguesa,3,228.13,684.39
DIC0006,2023-12-08,Este,Entrada,Nachos,5,78.52,392.6
DIC0007,2023-12-26,Este,Entrada,Pan de ajo,3,223.62,670.86
DIC0008,2023-12-20,Este,Bebida,Refresco,1,75.32,75.32
DIC0009,2023-12-06,Centro,Bebida,Cerveza,1,215.54,215.54
DIC0010,2023-12-20,Sur,Comida,Pizza,1,152.32,152.32
DIC0011,2023-12-29,Centro,Entrada,Pan de ajo,4,90.96,363.84
DIC0012,2023-12-13,Sur,Comida,Pizza,2,141.97,283.94
DIC0013,2023-12-24,Oeste,Comida,Tacos,5,218.5,1092.5
DIC0014,2023-12-16,Sur,Postre,Helado,5,153.23,766.15
DIC0015,2023-12-13,Sur,Postre,Pastel,1,159.61,159.61
DIC0016,2023-12-20,Norte,Entrada,Pan de ajo,3,190.84,572.52
DIC0017,2023-12-18,Oeste,Postre,Brownie,2,58.19,116.38
DIC0018,2023-12-01,Este,Postre,Pastel,4,240.61,962.44
DIC0019,2023-12-14,Norte,Bebida,Refresco,3,210.42,631.26
DIC0020,2023-12-25,Sur,Bebida,Café,5,138.55,692.75
DIC0021,2023-12-06,Sur,Entrada,Pan de ajo,4,146.32,585.28
DIC0022,2023-12-29,Norte,Entrada,Pan de ajo,5,175.38,876.9
DIC0023,2023-12-02,Oeste,Postre,Helado,2,221.98,443.96
DIC0024,2023-12-09,Oeste,Bebida,Té,1,228.24,228.24
DIC0025,2023-12-18,Centro,Bebida,Cerveza,2,84.0,168.0
DIC0026,2023-12-06,Oeste,Entrada,Pan de ajo,4,143.13,572.52
DIC0027,2023-12-05,Este,Postre,Brownie,4,136.69,546.76
DIC0028,2023-12-28,Sur,Comida,Pasta,3,238.8,716.4
DIC0029,2023-12-26,Oeste,Bebida,Café,3,244.18,732.54
DIC0030,2023-12-13,Norte,Postre,Brownie,1,103.64,103.64
DIC0031,2023-12-13,Sur,Postre,Helado,4,47.86,191.44
DIC0032,2023-12-22,Oeste,Postre,Flan,2,161.93,323.86
DIC0033,2023-12-07,Sur,Entrada,Aros de cebolla,4,148.24,592.96
DIC0034,2023-12-07,Oeste,Comida,Hamburguesa,3,185.27,555.81
DIC0035,2023-12-29,Este,Entrada,Pan de ajo,2,225.21,450.42
