ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
ENE0001,2023-01-04,Norte,Postre,Brownie,3,246.37,739.11
ENE0002,2023-01-24,Este,Entrada,Pan de ajo,3,149.3,447.9
ENE0003,2023-01-03,Sur,Comida,Pasta,2,85.7,171.4
ENE0004,2023-01-13,Norte,Postre,Brownie,5,129.17,645.85
ENE0005,2023-01-06,Oeste,Comida,Tacos,2,141.4,282.8
ENE0006,2023-01-22,Norte,Postre,Helado,5,217.24,1086.2
ENE0007,2023-01-24,Centro,Bebida,Café,4,47.98,191.92
ENE0008,2023-01-03,Sur,Comida,Pasta,1,52.84,52.84
ENE0009,2023-01-23,Este,Bebida,Cerveza,3,180.48,541.44
ENE0010,2023-01-11,Oeste,Comida,Tacos,3,191.01,573.03
ENE0011,2023-01-27,Norte,Entrada,Pan de ajo,4,174.52,698.08
ENE0012,2023-01-20,Norte,Postre,Brownie,1,181.32,181.32
ENE0013,2023-01-06,Centro,Entrada,Nachos,2,213.56,427.12
ENE0014,2023-01-08,Sur,Comida,Ensalada,1,61.76,61.76
ENE0015,2023-01-03,Oeste,Bebida,Café,2,96.63,193.26
ENE0016,2023-01-27,Sur,Comida,Pizza,1,35.17,35.17
ENE0017,2023-01-15,Centro,Comida,Pizza,1,70.86,70.86
ENE0018,2023-01-18,Sur,Postre,Brownie,4,239.22,956.88
ENE0019,2023-01-28,Sur,Entrada,Nachos,3,183.52,550.56
ENE0020,2023-01-08,Oeste,Entrada,Aros de cebolla,4,75.86,303.44
ENE0021,2023-01-24,Este,Entrada,Pan de ajo,1,165.26,165.26
ENE0022,2023-01-20,Sur,Comida,Ensalada,1,100.32,100.32
ENE0023,2023-01-25,Este,Entrada,Aros de cebolla,1,195.64,195.64
ENE0024,2023-01-22,Centro,Postre,Brownie,4,248.82,995.28
ENE0025,2023-01-23,Centro,Entrada,Nachos,5,134.47,672.35
ENE0026,2023-01-08,Este,Comida,Pizza,1,189.34,189.34
ENE0027,2023-01-16,Este,Entrada,Pan de ajo,5,104.22,521.1
ENE0028,2023-01-29,Norte,Comida,Tacos,4,98.16,392.64
ENE0029,2023-01-09,Oeste,Entrada,Nachos,2,32.26,64.52
ENE0030,2023-01-21,Norte,Comida,Pasta,5,127.77,638.85
ENE0031,2023-01-22,Oeste,Entrada,Aros de cebolla,4,183.37,733.48
ENE0032,2023-01-13,Este,Comida,Tacos,5,158.85,794.25
ENE0033,2023-01-15,Centro,Bebida,Café,2,94.55,189.1
ENE0034,2023-01-13,Centro,Postre,Flan,2,123.88,247.76
ENE0035,2023-01-18,Este,Bebida,Café,1,136.97,136.97
ENE0036,2023-01-26,Norte,Bebida,Café,2,39.65,79.3
ENE0037,2023-01-22,Centro,Postre,Brownie,4,80.32,321.28
ENE0038,2023-01-11,Oeste,Comida,Pizza,5,60.63,303.15
ENE0039,2023-01-23,Centro,Comida,Ensalada,4,139.15,556.6
ENE0040,2023-01-05,Sur,Postre,Pastel,1,122.1,122.1
ENE0041,2023-01-26,Centro,Entrada,Pan de ajo,1,184.45,184.45
ENE0042,2023-01-19,Este,Comida,Tacos,3,223.11,669.33
ENE0043,2023-01-18,Centro,Entrada,Pan de ajo,2,232.24,464.48
ENE0044,2023-01-19,Norte,Comida,Pizza,2,49.0,98.0
ENE0045,2023-01-22,Oeste,Entrada,Pan de ajo,3,249.23,747.69
ENE0046,2023-01-01,Oeste,Postre,Brownie,2,44.7,89.4
ENE0047,2023-01-15,Norte,Entrada,Nachos,2,153.13,306.26
ENE0048,2023-01-26,Centro,Bebida,Agua,4,59.31,237.24
ENE0049,2023-01-11,Centro,Postre,Pastel,1,142.24,142.24
ENE0050,2023-01-24,Sur,Postre,Pastel,2,96.74,193.48
ENE0051,2023-01-16,Este,Bebida,Café,2,206.27,412.54
ENE0052,2023-01-26,Este,Entrada,Aros de cebolla,2,77.11,154.22
ENE0053,2023-01-18,Norte,Comida,Pizza,5,176.76,883.8
