ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
FEB0001,2023-02-05,Norte,Comida,Ensalada,2,78.05,156.1
FEB0002,2023-02-03,Sur,Bebida,Café,5,31.16,155.8
FEB0003,2023-02-20,Este,Bebida,Café,1,150.46,150.46
FEB0004,2023-02-01,Oeste,Bebida,Té,2,176.71,353.42
FEB0005,2023-02-12,Este,Postre,Flan,5,59.97,299.85
FEB0006,2023-02-20,Este,Postre,Flan,1,84.79,84.79
FEB0007,2023-02-22,Este,Postre,Brownie,1,30.32,30.32
FEB0008,2023-02-09,Norte,Bebida,Agua,5,182.09,910.45
FEB0009,2023-02-04,Norte,Comida,Pizza,1,59.14,59.14
FEB0010,2023-02-18,Norte,Bebida,Refresco,4,190.88,763.52
FEB0011,2023-02-11,Centro,Bebida,Agua,5,241.07,1205.35
FEB0012,2023-02-17,Este,Bebida,Refresco,1,212.59,212.59
FEB0013,2023-02-17,Norte,Comida,Tacos,2,75.39,150.78
FEB0014,2023-02-26,Este,Comida,Tacos,4,101.52,406.08
FEB0015,2023-02-19,Norte,Postre,Brownie,2,175.89,351.78
FEB0016,2023-02-05,Este,Entrada,Aros de cebolla,2,71.36,142.72
FEB0017,2023-02-05,Centro,Entrada,Aros de cebolla,3,126.24,378.72
FEB0018,2023-02-02,Este,Entrada,Aros de cebolla,1,64.89,64.89
FEB0019,2023-02-26,Norte,Postre,Helado,3,120.95,362.85
FEB0020,2023-02-02,Este,Postre,Flan,1,68.95,68.95
FEB0021,2023-02-18,Norte,Comida,Pasta,3,129.97,389.91
FEB0022,2023-02-16,Este,Entrada,Nachos,3,181.45,544.35
FEB0023,2023-02-09,Este,Entrada,Aros de cebolla,2,65.3,130.6
FEB0024,2023-02-08,Este,Bebida,Refresco,4,201.82,807.28
FEB0025,2023-02-05,Centro,Bebida,Té,2,142.13,284.26
FEB0026,2023-02-01,Sur,Postre,Flan,1,144.85,144.85
FEB0027,2023-02-20,Centro,Postre,Brownie,5,34.47,172.35
FEB0028,2023-02-13,Oeste,Bebida,Agua,2,85.46,170.92
FEB0029,2023-02-20,Norte,Bebida,Café,1,245.04,245.04
FEB0030,2023-02-12,Este,Comida,Tacos,5,199.07,995.35
FEB0031,2023-02-11,Centro,Postre,Pastel,2,135.82,271.64
FEB0032,2023-02-26,Oeste,Postre,Brownie,3,85.26,255.78
FEB0033,2023-02-20,Oeste,Bebida,Café,5,177.36,886.8
FEB0034,2023-02-21,Norte,Postre,Pastel,5,113.58,567.9
FEB0035,2023-02-26,Sur,Bebida,Agua,3,40.08,120.24
FEB0036,2023-02-02,Norte,Entrada,Nachos,4,147.15,588.6
FEB0037,2023-02-20,Centro,Entrada,Pan de ajo,1,33.61,33.61
FEB0038,2023-02-01,Norte,Bebida,Cerveza,1,120.36,120.36
FEB0039,2023-02-01,Centro,Entrada,Aros de cebolla,1,147.7,147.7
FEB0040,2023-02-14,Norte,Entrada,Pan de ajo,2,59.86,119.72
FEB0041,2023-02-21,Oeste,Postre,Pastel,1,38.06,38.06
FEB0042,2023-02-13,Este,Entrada,Nachos,5,248.09,1240.45
FEB0043,2023-02-02,Oeste,Bebida,Refresco,2,104.98,209.96
FEB0044,2023-02-19,Oeste,Comida,Hamburguesa,5,207.19,1035.95
FEB0045,2023-02-22,Oeste,Bebida,Refresco,3,134.72,404.16
FEB0046,2023-02-27,Norte,Bebida,Refresco,4,233.77,935.08
FEB0047,2023-02-06,Oeste,Entrada,Aros de cebolla,5,52.02,260.1
FEB0048,2023-02-13,Sur,Bebida,Té,4,91.09,364.36
FEB0049,2023-02-18,Centro,Postre,Brownie,2,152.38,304.76
FEB0050,2023-02-17,Norte,Comida,Pasta,3,34.7,104.1
FEB0051,2023-02-02,Norte,Bebida,Cerveza,1,81.53,81.53
FEB0052,2023-02-05,Este,Bebida,Cerveza,3,73.48,220.44
FEB0053,2023-02-05,Centro,Comida,Ensalada,2,79.64,159.28
FEB0054,2023-02-04,Este,Comida,Pizza,3,110.66,331.98
FEB0055,2023-02-27,Este,Bebida,Refresco,2,213.4,426.8
FEB0056,2023-02-21,Oeste,Entrada,Nachos,1,67.7,67.7
FEB0057,2023-02-16,Norte,Bebida,Café,2,53.88,107.76
FEB0058,2023-02-07,Norte,Comida,Pizza,4,121.31,485.24
FEB0059,2023-02-18,Oeste,Bebida,Agua,5,187.01,935.05
FEB0060,2023-02-12,Oeste,Postre,Brownie,5,64.63,323.15
FEB0061,2023-02-13,Este,Bebida,Café,5,123.47,617.35
FEB0062,2023-02-07,Centro,Postre,Flan,2,87.25,174.5
FEB0063,2023-02-18,Este,Bebida,Café,5,95.02,475.1
FEB0064,2023-02-23,Centro,Comida,Pasta,2,55.38,110.76
FEB0065,2023-02-06,Oeste,Bebida,Té,1,238.9,238.9
FEB0066,2023-02-02,Norte,Entrada,Aros de cebolla,5,230.05,1150.25
FEB0067,2023-02-01,Norte,Comida,Pasta,2,69.55,139.1
FEB0068,2023-02-08,Oeste,Bebida,Refresco,5,141.85,709.25
FEB0069,2023-02-24,Sur,Comida,Pizza,1,148.58,148.58
FEB0070,2023-02-26,Norte,Comida,Tacos,5,87.45,437.25
FEB0071,2023-02-02,Norte,Bebida,Refresco,2,124.1,248.2
FEB0072,2023-02-16,Este,Bebida,Refresco,5,143.95,719.75
FEB0073,2023-02-24,Centro,Comida,Ensalada,5,188.6,943.0
FEB0074,2023-02-19,Sur,Postre,Brownie,3,66.22,198.66
FEB0075,2023-02-26,Centro,Comida,Hamburguesa,1,198.41,198.41
FEB0076,2023-02-11,Centro,Comida,Hamburguesa,5,100.95,504.75
FEB0077,2023-02-04,Este,Comida,Pizza,1,135.77,135.77
FEB0078,2023-02-21,Centro,Postre,Pastel,5,203.24,1016.2
FEB0079,2023-02-18,Oeste,Bebida,Agua,1,98.83,98.83
FEB0080,2023-02-12,Oeste,Postre,Flan,1,87.38,87.38
FEB0081,2023-02-20,Este,Bebida,Té,5,176.99,884.95
FEB0082,2023-02-13,Norte,Postre,Brownie,1,144.89,144.89
FEB0083,2023-02-16,Sur,Bebida,Agua,1,140.31,140.31
FEB0084,2023-02-13,Este,Entrada,Aros de cebolla,4,38.88,155.52
FEB0085,2023-02-19,Sur,Comida,Hamburguesa,1,161.83,161.83
FEB0086,2023-02-08,Centro,Bebida,Café,3,105.98,317.94
FEB0087,2023-02-09,Este,Postre,Flan,4,146.61,586.44
FEB0088,2023-02-04,Oeste,Comida,Pizza,3,120.85,362.55
FEB0089,2023-02-24,Sur,Bebida,Agua,1,111.3,111.3
FEB0090,2023-02-01,Centro,Postre,Helado,4,202.73,810.92
FEB0091,2023-02-09,Norte,Comida,Ensalada,2,41.67,83.34
FEB0092,2023-02-22,Este,Entrada,Pan de ajo,5,218.33,1091.65
FEB0093,2023-02-03,Norte,Postre,Pastel,5,199.92,999.6
FEB0094,2023-02-25,Centro,Bebida,Refresco,1,43.36,43.36
FEB0095,2023-02-01,Oeste,Entrada,Aros de cebolla,1,213.68,213.68
FEB0096,2023-02-14,Norte,Comida,Tacos,3,167.63,502.89
FEB0097,2023-02-01,Oeste,Entrada,Aros de cebolla,2,223.7,447.4
FEB0098,2023-02-20,Oeste,Bebida,Café,2,188.0,376.0
FEB0099,2023-02-12,Centro,Comida,Ensalada,2,88.92,177.84
FEB0100,2023-02-10,Norte,Bebida,Café,3,166.2,498.6
FEB0101,2023-02-20,Norte,Postre,Brownie,1,95.47,95.47
FEB0102,2023-02-11,Este,Entrada,Pan de ajo,5,58.71,293.55
FEB0103,2023-02-13,Centro,Bebida,Refresco,3,98.11,294.33
FEB0104,2023-02-06,Este,Entrada,Nachos,3,210.85,632.55
FEB0105,2023-02-09,Sur,Bebida,Agua,3,238.15,714.45
FEB0106,2023-02-09,Sur,Comida,Pizza,2,118.72,237.44
FEB0107,2023-02-12,Centro,Postre,Helado,1,94.64,94.64
FEB0108,2023-02-21,Sur,Entrada,Aros de cebolla,3,97.7,293.1
FEB0109,2023-02-14,Norte,Comida,Pizza,3,190.77,572.31
FEB0110,2023-02-24,Este,Bebida,Agua,2,102.94,205.88
FEB0111,2023-02-14,Sur,Comida,Tacos,1,38.26,38.26
FEB0112,2023-02-08,Sur,Bebida,Cerveza,2,231.63,463.26
FEB0113,2023-02-07,Centro,Bebida,Té,3,86.7,260.1
FEB0114,2023-02-18,Centro,Entrada,Pan de ajo,2,78.81,157.62
FEB0115,2023-02-11,Oeste,Comida,Hamburguesa,4,186.49,745.96
FEB0116,2023-02-12,Oeste,Entrada,Pan de ajo,1,223.29,223.29
