ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
JUL0001,2023-07-24,Sur,Comida,Tacos,1,33.76,33.76
JUL0002,2023-07-08,Este,Entrada,Aros de cebolla,2,87.11,174.22
JUL0003,2023-07-12,Oeste,Entrada,Nachos,2,100.41,200.82
JUL0004,2023-07-21,Norte,Postre,Flan,1,193.78,193.78
JUL0005,2023-07-08,Centro,Comida,Ensalada,3,229.67,689.01
JUL0006,2023-07-01,Este,Bebida,Cerveza,5,160.3,801.5
JUL0007,2023-07-06,Este,Comida,Tacos,2,109.7,219.4
JUL0008,2023-07-13,Este,Comida,Pasta,2,131.61,263.22
JUL0009,2023-07-22,Este,Comida,Pizza,3,95.04,285.12
JUL0010,2023-07-09,Este,Postre,Flan,4,123.03,492.12
JUL0011,2023-07-08,Centro,Bebida,Refresco,4,108.78,435.12
JUL0012,2023-07-22,Este,Comida,Ensalada,5,74.79,373.95
JUL0013,2023-07-10,Este,Comida,Tacos,3,114.54,343.62
JUL0014,2023-07-24,Norte,Bebida,Café,1,176.21,176.21
JUL0015,2023-07-20,Oeste,Comida,Ensalada,2,99.97,199.94
JUL0016,2023-07-09,Centro,Comida,Pizza,3,225.51,676.53
JUL0017,2023-07-02,Este,Postre,Flan,2,185.25,370.5
JUL0018,2023-07-25,Sur,Comida,Pizza,3,153.78,461.34
JUL0019,2023-07-19,Este,Entrada,Pan de ajo,2,146.18,292.36
JUL0020,2023-07-13,Centro,Bebida,Té,3,143.56,430.68
JUL0021,2023-07-18,Centro,Entrada,Aros de cebolla,2,124.29,248.58
JUL0022,2023-07-27,Norte,Entrada,Pan de ajo,2,226.32,452.64
JUL0023,2023-07-28,Sur,Entrada,Nachos,2,219.13,438.26
JUL0024,2023-07-19,Este,Bebida,Té,4,242.72,970.88
JUL0025,2023-07-04,Norte,Entrada,Pan de ajo,5,60.44,302.2
JUL0026,2023-07-18,Este,Bebida,Té,5,124.87,624.35
JUL0027,2023-07-02,Sur,Comida,Ensalada,1,227.1,227.1
JUL0028,2023-07-06,Centro,Entrada,Pan de ajo,2,179.47,358.94
JUL0029,2023-07-26,Centro,Postre,Flan,3,201.03,603.09
JUL0030,2023-07-04,Norte,Postre,Pastel,5,181.21,906.05
JUL0031,2023-07-16,Sur,Entrada,Nachos,1,157.1,157.1
JUL0032,2023-07-13,Sur,Entrada,Aros de cebolla,1,239.34,239.34
JUL0033,2023-07-03,Este,Bebida,Agua,1,120.53,120.53
JUL0034,2023-07-11,Sur,Entrada,Aros de cebolla,3,186.35,559.05
JUL0035,2023-07-05,Centro,Bebida,Café,5,217.12,1085.6
JUL0036,2023-07-09,Este,Bebida,Té,2,87.13,174.26
JUL0037,2023-07-03,Este,Bebida,Café,2,194.91,389.82
JUL0038,2023-07-19,Norte,Bebida,Cerveza,2,43.12,86.24
JUL0039,2023-07-08,Este,Bebida,Café,1,52.72,52.72
JUL0040,2023-07-03,Este,Postre,Brownie,1,123.7,123.7
JUL0041,2023-07-03,Norte,Comida,Ensalada,3,66.16,198.48
JUL0042,2023-07-17,Este,Postre,Pastel,5,93.57,467.85
JUL0043,2023-07-05,Este,Bebida,Refresco,1,112.46,112.46
JUL0044,2023-07-11,Norte,Comida,Pizza,2,158.59,317.18
JUL0045,2023-07-21,Oeste,Comida,Pizza,5,194.31,971.55
JUL0046,2023-07-12,Norte,Comida,Hamburguesa,3,249.31,747.93
JUL0047,2023-07-01,Centro,Entrada,Aros de cebolla,1,139.0,139.0
JUL0048,2023-07-12,Este,Entrada,Pan de ajo,1,35.56,35.56
JUL0049,2023-07-19,Este,Entrada,Nachos,1,232.75,232.75
JUL0050,2023-07-10,Sur,Bebida,Café,1,225.16,225.16
JUL0051,2023-07-19,Norte,Comida,Hamburguesa,2,94.07,188.14
JUL0052,2023-07-22,Sur,Bebida,Café,2,213.73,427.46
JUL0053,2023-07-03,Este,Postre,Brownie,1,157.07,157.07
JUL0054,2023-07-08,Este,Bebida,Té,4,91.3,365.2
JUL0055,2023-07-14,Oeste,Bebida,Té,2,31.17,62.34
JUL0056,2023-07-04,Sur,Comida,Ensalada,3,196.37,589.11
JUL0057,2023-07-25,Oeste,Comida,Pizza,5,223.81,1119.05
JUL0058,2023-07-25,Oeste,Postre,Pastel,2,183.75,367.5
JUL0059,2023-07-25,Este,Bebida,Cerveza,2,131.64,263.28
JUL0060,2023-07-23,Oeste,Bebida,Té,2,219.46,438.92
JUL0061,2023-07-14,Sur,Comida,Ensalada,1,78.89,78.89
JUL0062,2023-07-26,Este,Entrada,Nachos,4,57.6,230.4
JUL0063,2023-07-08,Este,Entrada,Aros de cebolla,2,172.09,344.18
JUL0064,2023-07-10,Norte,Bebida,Té,3,171.79,515.37
JUL0065,2023-07-23,Sur,Entrada,Aros de cebolla,5,167.15,835.75
JUL0066,2023-07-08,Oeste,Comida,Ensalada,5,189.01,945.05
JUL0067,2023-07-11,Este,Entrada,Aros de cebolla,4,209.53,838.12
JUL0068,2023-07-02,Norte,Postre,Brownie,1,216.23,216.23
JUL0069,2023-07-11,Oeste,Comida,Pasta,1,32.25,32.25
JUL0070,2023-07-27,Centro,Bebida,Té,2,40.22,80.44
JUL0071,2023-07-28,Oeste,Postre,Flan,2,224.07,448.14
JUL0072,2023-07-01,Centro,Comida,Tacos,5,86.99,434.95
JUL0073,2023-07-11,Norte,Bebida,Cerveza,3,227.73,683.19
JUL0074,2023-07-12,Norte,Bebida,Cerveza,2,68.13,136.26
JUL0075,2023-07-21,Sur,Postre,Pastel,3,38.96,116.88
JUL0076,2023-07-28,Sur,Postre,Pastel,2,54.97,109.94
JUL0077,2023-07-21,Norte,Postre,Flan,1,205.17,205.17
JUL0078,2023-07-02,Oeste,Entrada,Pan de ajo,5,140.94,704.7
JUL0079,2023-07-01,Norte,Postre,Helado,2,167.23,334.46
JUL0080,2023-07-26,Norte,Bebida,Agua,4,216.96,867.84
JUL0081,2023-07-25,Centro,Entrada,Nachos,5,31.59,157.95
JUL0082,2023-07-18,Sur,Postre,Helado,3,56.94,170.82
