ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
JUN0001,2023-06-28,Norte,Entrada,Nachos,1,222.25,222.25
JUN0002,2023-06-29,Este,Bebida,Té,2,232.06,464.12
JUN0003,2023-06-27,Norte,Comida,Pasta,5,134.38,671.9
JUN0004,2023-06-26,Oeste,Comida,Tacos,4,204.77,819.08
JUN0005,2023-06-23,Este,Entrada,Nachos,5,32.12,160.6
JUN0006,2023-06-27,Norte,Bebida,Agua,3,180.54,541.62
JUN0007,2023-06-29,Sur,Comida,Ensalada,4,182.13,728.52
JUN0008,2023-06-08,Oeste,Bebida,Agua,4,190.37,761.48
JUN0009,2023-06-09,Sur,Comida,Hamburguesa,1,142.61,142.61
JUN0010,2023-06-07,Sur,Entrada,Pan de ajo,3,135.24,405.72
JUN0011,2023-06-09,Este,Entrada,Aros de cebolla,4,49.28,197.12
JUN0012,2023-06-05,Oeste,Entrada,Nachos,4,160.35,641.4
JUN0013,2023-06-17,Norte,Comida,Tacos,4,79.39,317.56
JUN0014,2023-06-28,Sur,Postre,Brownie,4,168.4,673.6
JUN0015,2023-06-28,Oeste,Postre,Pastel,5,164.11,820.55
JUN0016,2023-06-28,Oeste,Comida,Hamburguesa,5,54.68,273.4
JUN0017,2023-06-20,Oeste,Postre,Brownie,1,80.13,80.13
JUN0018,2023-06-09,Oeste,Bebida,Agua,1,66.02,66.02
JUN0019,2023-06-14,Norte,Entrada,Pan de ajo,3,144.85,434.55
JUN0020,2023-06-17,Oeste,Postre,Brownie,5,90.93,454.65
JUN0021,2023-06-04,Norte,Postre,Brownie,4,158.22,632.88
JUN0022,2023-06-07,Sur,Postre,Brownie,5,102.29,511.45
JUN0023,2023-06-09,Centro,Bebida,Té,5,193.22,966.1
JUN0024,2023-06-08,Este,Bebida,Cerveza,5,45.72,228.6
JUN0025,2023-06-12,Norte,Comida,Pizza,5,95.83,479.15
JUN0026,2023-06-23,Oeste,Entrada,Nachos,3,131.67,395.01
JUN0027,2023-06-21,Sur,Postre,Flan,1,233.6,233.6
JUN0028,2023-06-26,Oeste,Bebida,Café,2,139.19,278.38
JUN0029,2023-06-13,Norte,Entrada,Pan de ajo,2,53.06,106.12
JUN0030,2023-06-08,Este,Comida,Pizza,3,146.2,438.6
JUN0031,2023-06-26,Este,Comida,Hamburguesa,5,157.19,785.95
JUN0032,2023-06-02,Oeste,Comida,Tacos,3,237.96,713.88
JUN0033,2023-06-04,Oeste,Comida,Hamburguesa,5,192.34,961.7
JUN0034,2023-06-27,Centro,Bebida,Refresco,5,127.96,639.8
JUN0035,2023-06-02,Este,Postre,Flan,4,62.52,250.08
JUN0036,2023-06-23,Centro,Bebida,Cerveza,3,211.08,633.24
JUN0037,2023-06-02,Centro,Postre,Pastel,4,196.0,784.0
JUN0038,2023-06-04,Centro,Postre,Helado,4,57.84,231.36
JUN0039,2023-06-09,Centro,Comida,Hamburguesa,5,156.65,783.25
JUN0040,2023-06-06,Norte,Comida,Pizza,5,240.88,1204.4
JUN0041,2023-06-09,Sur,Entrada,Aros de cebolla,3,59.57,178.71
JUN0042,2023-06-12,Oeste,Comida,Pizza,1,189.17,189.17
JUN0043,2023-06-14,Centro,Comida,Pasta,5,102.18,510.9
JUN0044,2023-06-16,Norte,Comida,Hamburguesa,1,92.35,92.35
JUN0045,2023-06-22,Este,Postre,Helado,2,187.22,374.44
JUN0046,2023-06-26,Este,Comida,Tacos,5,235.19,1175.95
JUN0047,2023-06-08,Este,Bebida,Café,2,196.66,393.32
JUN0048,2023-06-04,Oeste,Comida,Pizza,5,181.85,909.25
JUN0049,2023-06-12,Norte,Entrada,Pan de ajo,3,83.98,251.94
JUN0050,2023-06-20,Sur,Comida,Hamburguesa,5,167.86,839.3
JUN0051,2023-06-01,Este,Entrada,Nachos,3,110.68,332.04
JUN0052,2023-06-05,Este,Bebida,Refresco,4,173.15,692.6
JUN0053,2023-06-14,Sur,Bebida,Té,2,137.22,274.44
JUN0054,2023-06-02,Norte,Postre,Pastel,3,52.28,156.84
JUN0055,2023-06-02,Oeste,Entrada,Pan de ajo,2,164.96,329.92
JUN0056,2023-06-09,Centro,Bebida,Café,4,136.95,547.8
JUN0057,2023-06-23,Este,Bebida,Té,4,160.79,643.16
JUN0058,2023-06-02,Norte,Comida,Tacos,3,231.1,693.3
JUN0059,2023-06-26,Centro,Comida,Ensalada,3,207.59,622.77
JUN0060,2023-06-18,Oeste,Entrada,Nachos,1,37.69,37.69
JUN0061,2023-06-07,Sur,Entrada,Aros de cebolla,2,169.61,339.22
JUN0062,2023-06-21,Sur,Postre,Brownie,1,212.21,212.21
