ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
MAY0001,2023-05-10,Oeste,Bebida,Té,1,33.72,33.72
MAY0002,2023-05-05,Oeste,Postre,Flan,3,249.37,748.11
MAY0003,2023-05-07,Este,Bebida,Cerveza,3,69.3,207.9
MAY0004,2023-05-15,Sur,Comida,Ensalada,5,70.27,351.35
MAY0005,2023-05-12,Norte,Bebida,Agua,4,174.34,697.36
MAY0006,2023-05-12,Oeste,Entrada,Nachos,1,44.67,44.67
MAY0007,2023-05-01,Sur,Comida,Tacos,4,117.3,469.2
MAY0008,2023-05-12,Norte,Comida,Pizza,3,31.39,94.17
MAY0009,2023-05-18,Norte,Postre,Pastel,3,173.7,521.1
MAY0010,2023-05-14,Norte,Comida,Hamburguesa,4,78.35,313.4
MAY0011,2023-05-05,Este,Entrada,Pan de ajo,3,42.61,127.83
MAY0012,2023-05-26,Sur,Bebida,Té,4,212.2,848.8
MAY0013,2023-05-08,Este,Entrada,Nachos,3,99.04,297.12
MAY0014,2023-05-07,Centro,Comida,Tacos,5,100.05,500.25
MAY0015,2023-05-12,Sur,Bebida,Refresco,4,111.02,444.08
MAY0016,2023-05-14,Sur,Comida,Hamburguesa,3,154.57,463.71
MAY0017,2023-05-08,Oeste,Entrada,Aros de cebolla,1,33.72,33.72
MAY0018,2023-05-20,Sur,Entrada,Pan de ajo,5,246.65,1233.25
MAY0019,2023-05-28,Centro,Entrada,Pan de ajo,2,139.26,278.52
MAY0020,2023-05-11,Sur,Entrada,Nachos,1,208.46,208.46
MAY0021,2023-05-11,Centro,Bebida,Café,1,244.81,244.81
MAY0022,2023-05-25,Norte,Entrada,Nachos,1,59.91,59.91
MAY0023,2023-05-12,Norte,Postre,Pastel,5,236.98,1184.9
MAY0024,2023-05-16,Oeste,Entrada,Pan de ajo,5,118.78,593.9
MAY0025,2023-05-01,Este,Entrada,Aros de cebolla,5,37.99,189.95
MAY0026,2023-05-24,Este,Bebida,Refresco,4,66.29,265.16
MAY0027,2023-05-23,Norte,Bebida,Refresco,2,205.54,411.08
MAY0028,2023-05-23,Este,Entrada,Pan de ajo,1,115.67,115.67
MAY0029,2023-05-14,Sur,Postre,Brownie,4,172.72,690.88
MAY0030,2023-05-17,Sur,Bebida,Cerveza,5,236.96,1184.8
MAY0031,2023-05-24,Sur,Bebida,Refresco,4,162.58,650.32
MAY0032,2023-05-28,Oeste,Postre,Helado,5,36.79,183.95
MAY0033,2023-05-10,Centro,Postre,Helado,2,81.3,162.6
MAY0034,2023-05-28,Centro,Bebida,Refresco,3,158.94,476.82
MAY0035,2023-05-03,Sur,Postre,Brownie,3,207.66,622.98
MAY0036,2023-05-16,Centro,Entrada,Aros de cebolla,1,135.59,135.59
MAY0037,2023-05-29,Este,Bebida,Café,4,243.0,972.0
MAY0038,2023-05-10,Este,Postre,Flan,4,149.85,599.4
MAY0039,2023-05-21,Este,Entrada,Aros de cebolla,5,155.93,779.65
MAY0040,2023-05-22,Este,Postre,Pastel,2,122.35,244.7
MAY0041,2023-05-03,Sur,Postre,Brownie,1,181.94,181.94
MAY0042,2023-05-06,Sur,Postre,Pastel,2,35.07,70.14
MAY0043,2023-05-16,Oeste,Postre,Helado,1,133.46,133.46
MAY0044,2023-05-19,Norte,Entrada,Aros de cebolla,5,154.31,771.55
