ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
NOV0001,2023-11-05,Sur,Entrada,Pan de ajo,2,164.84,329.68
NOV0002,2023-11-21,Oeste,Postre,Pastel,3,67.42,202.26
NOV0003,2023-11-04,Norte,Entrada,Aros de cebolla,1,197.47,197.47
NOV0004,2023-11-10,Sur,Comida,Tacos,2,31.87,63.74
NOV0005,2023-11-03,Sur,Entrada,Pan de ajo,3,181.75,545.25
NOV0006,2023-11-12,Norte,Comida,Pasta,2,186.42,372.84
NOV0007,2023-11-14,Centro,Entrada,Pan de ajo,1,141.1,141.1
NOV0008,2023-11-18,Norte,Bebida,Té,4,176.31,705.24
NOV0009,2023-11-12,Centro,Comida,Hamburguesa,3,221.7,665.1
NOV0010,2023-11-21,Centro,Bebida,Cerveza,1,91.78,91.78
NOV0011,2023-11-19,Norte,Postre,Helado,1,62.76,62.76
NOV0012,2023-11-04,Centro,Bebida,Agua,2,205.14,410.28
NOV0013,2023-11-10,Oeste,Bebida,Refresco,4,223.93,895.72
NOV0014,2023-11-26,Norte,Comida,Ensalada,1,78.9,78.9
NOV0015,2023-11-13,Oeste,Comida,Ensalada,4,247.88,991.52
NOV0016,2023-11-07,Sur,Comida,Ensalada,5,194.8,974.0
NOV0017,2023-11-01,Centro,Entrada,Aros de cebolla,1,136.07,136.07
NOV0018,2023-11-27,Centro,Comida,Tacos,3,58.47,175.41
NOV0019,2023-11-24,Centro,Comida,Ensalada,4,230.93,923.72
NOV0020,2023-11-01,Centro,Entrada,Nachos,3,89.18,267.54
NOV0021,2023-11-25,Centro,Postre,Pastel,4,69.67,278.68
NOV0022,2023-11-19,Centro,Postre,Pastel,5,198.24,991.2
NOV0023,2023-11-19,Este,Postre,Flan,3,109.6,328.8
NOV0024,2023-11-08,Sur,Entrada,Nachos,3,165.7,497.1
NOV0025,2023-11-15,Este,Entrada,Nachos,4,162.01,648.04
NOV0026,2023-11-20,Centro,Entrada,Nachos,4,81.99,327.96
NOV0027,2023-11-29,Oeste,Entrada,Nachos,2,216.22,432.44
NOV0028,2023-11-25,Este,Postre,Brownie,4,53.44,213.76
NOV0029,2023-11-11,Sur,Entrada,Pan de ajo,1,78.13,78.13
NOV0030,2023-11-19,Norte,Postre,Brownie,1,75.64,75.64
NOV0031,2023-11-05,Norte,Entrada,Pan de ajo,1,93.03,93.03
NOV0032,2023-11-08,Este,Bebida,Cerveza,3,181.23,543.69
NOV0033,2023-11-23,Este,Comida,Tacos,4,95.37,381.48
NOV0034,2023-11-14,Centro,Bebida,Café,2,123.34,246.68
NOV0035,2023-11-07,Este,Postre,Pastel,4,45.76,183.04
NOV0036,2023-11-02,Sur,Comida,Tacos,1,68.31,68.31
NOV0037,2023-11-05,Oeste,Bebida,Agua,1,142.5,142.5
NOV0038,2023-11-03,Este,Entrada,Pan de ajo,2,192.17,384.34
NOV0039,2023-11-09,Este,Postre,Brownie,3,35.99,107.97
NOV0040,2023-11-13,Este,Postre,Brownie,5,148.5,742.5
NOV0041,2023-11-14,Oeste,Entrada,Nachos,5,77.62,388.1
NOV0042,2023-11-28,Norte,Bebida,Refresco,5,36.23,181.15
NOV0043,2023-11-01,Este,Entrada,Pan de ajo,2,162.74,325.48
NOV0044,2023-11-15,Norte,Bebida,Refresco,5,198.41,992.05
NOV0045,2023-11-03,Este,Bebida,Té,2,55.0,110.0
NOV0046,2023-11-18,Sur,Comida,Ensalada,2,102.56,205.12
NOV0047,2023-11-22,Este,Comida,Hamburguesa,1,229.73,229.73
NOV0048,2023-11-11,Este,Bebida,Té,5,50.72,253.6
NOV0049,2023-11-14,Este,Bebida,Cerveza,3,142.98,428.94
NOV0050,2023-11-03,Oeste,Comida,Pasta,1,72.37,72.37
