ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
OCT0001,2023-10-10,Norte,Comida,Pasta,2,43.17,86.34
OCT0002,2023-10-26,Este,Comida,Hamburguesa,5,115.97,579.85
OCT0003,2023-10-24,Este,Comida,Ensalada,4,168.42,673.68
OCT0004,2023-10-04,Norte,Bebida,Agua,2,84.14,168.28
OCT0005,2023-10-26,Norte,Entrada,Nachos,5,148.61,743.05
OCT0006,2023-10-14,Sur,Comida,Pizza,5,113.28,566.4
OCT0007,2023-10-21,Centro,Postre,Brownie,4,78.55,314.2
OCT0008,2023-10-23,Sur,Comida,Tacos,5,216.08,1080.4
OCT0009,2023-10-17,Este,Bebida,Refresco,2,38.81,77.62
OCT0010,2023-10-11,Oeste,Postre,Helado,5,155.36,776.8
OCT0011,2023-10-16,Norte,Bebida,Cerveza,1,184.67,184.67
OCT0012,2023-10-04,Oeste,Bebida,Agua,5,126.22,631.1
OCT0013,2023-10-13,Este,Entrada,Aros de cebolla,2,164.77,329.54
OCT0014,2023-10-20,Norte,Postre,Pastel,5,138.0,690.0
OCT0015,2023-10-14,Sur,Entrada,Aros de cebolla,1,105.35,105.35
OCT0016,2023-10-03,Centro,Bebida,Té,1,60.68,60.68
OCT0017,2023-10-21,Norte,Postre,Pastel,3,209.2,627.6
OCT0018,2023-10-24,Este,Entrada,Aros de cebolla,4,94.42,377.68
OCT0019,2023-10-12,Este,Bebida,Agua,2,44.0,88.0
OCT0020,2023-10-10,Norte,Bebida,Agua,3,99.5,298.5
OCT0021,2023-10-05,Este,Bebida,Café,3,239.04,717.12
OCT0022,2023-10-22,Sur,Postre,Brownie,4,164.99,659.96
OCT0023,2023-10-04,Norte,Entrada,Pan de ajo,4,94.57,378.28
OCT0024,2023-10-22,Sur,Bebida,Agua,5,209.11,1045.55
OCT0025,2023-10-02,Norte,Postre,Pastel,4,34.77,139.08
OCT0026,2023-10-06,Norte,Postre,Pastel,5,240.89,1204.45
OCT0027,2023-10-16,Centro,Entrada,Aros de cebolla,3,114.28,342.84
OCT0028,2023-10-17,Este,Bebida,Refresco,2,220.6,441.2
OCT0029,2023-10-10,Norte,Entrada,Pan de ajo,5,138.28,691.4
OCT0030,2023-10-08,Norte,Postre,Pastel,5,165.06,825.3
OCT0031,2023-10-11,Norte,Postre,Flan,1,220.62,220.62
OCT0032,2023-10-08,Centro,Comida,Tacos,3,126.16,378.48
OCT0033,2023-10-03,Este,Bebida,Cerveza,3,203.23,609.69
OCT0034,2023-10-09,Sur,Entrada,Pan de ajo,1,246.47,246.47
OCT0035,2023-10-01,Norte,Postre,Brownie,4,189.07,756.28
OCT0036,2023-10-27,Centro,Postre,Pastel,3,220.08,660.24
OCT0037,2023-10-01,Oeste,Entrada,Nachos,5,74.79,373.95
OCT0038,2023-10-07,Norte,Bebida,Refresco,5,94.37,471.85
OCT0039,2023-10-01,Centro,Bebida,Cerveza,2,127.84,255.68
OCT0040,2023-10-19,Este,Postre,Flan,4,44.09,176.36
OCT0041,2023-10-10,Norte,Entrada,Pan de ajo,4,127.96,511.84
OCT0042,2023-10-21,Oeste,Entrada,Pan de ajo,2,78.34,156.68
OCT0043,2023-10-02,Norte,Entrada,Nachos,1,30.96,30.96
OCT0044,2023-10-02,Oeste,Bebida,Refresco,1,210.78,210.78
OCT0045,2023-10-06,Oeste,Postre,Flan,3,57.83,173.49
OCT0046,2023-10-10,Este,Bebida,Cerveza,2,248.43,496.86
OCT0047,2023-10-10,Oeste,Entrada,Pan de ajo,1,156.78,156.78
OCT0048,2023-10-12,Centro,Bebida,Té,4,163.16,652.64
OCT0049,2023-10-08,Sur,Bebida,Café,3,31.92,95.76
OCT0050,2023-10-12,Norte,Postre,Brownie,5,222.88,1114.4
OCT0051,2023-10-14,Sur,Comida,Pasta,4,246.78,987.12
OCT0052,2023-10-04,Sur,Comida,Hamburguesa,2,220.76,441.52
OCT0053,2023-10-18,Sur,Postre,Pastel,2,229.78,459.56
OCT0054,2023-10-11,Sur,Comida,Hamburguesa,3,47.04,141.12
OCT0055,2023-10-02,Centro,Entrada,Nachos,5,134.54,672.7
OCT0056,2023-10-15,Oeste,Comida,Pizza,5,239.36,1196.8
OCT0057,2023-10-18,Centro,Comida,Tacos,1,86.16,86.16
OCT0058,2023-10-25,Sur,Postre,Pastel,1,89.83,89.83
OCT0059,2023-10-01,Centro,Entrada,Aros de cebolla,3,226.6,679.8
OCT0060,2023-10-24,Sur,Bebida,Agua,1,72.01,72.01
OCT0061,2023-10-16,Sur,Bebida,Café,3,98.26,294.78
OCT0062,2023-10-08,Centro,Comida,Pizza,1,39.25,39.25
OCT0063,2023-10-09,Sur,Entrada,Pan de ajo,4,234.91,939.64
OCT0064,2023-10-14,Oeste,Entrada,Nachos,4,137.15,548.6
OCT0065,2023-10-05,Centro,Postre,Pastel,5,50.07,250.35
OCT0066,2023-10-16,Este,Bebida,Café,1,203.87,203.87
OCT0067,2023-10-18,Centro,Bebida,Café,4,184.38,737.52
OCT0068,2023-10-05,Este,Comida,Tacos,4,143.51,574.04
OCT0069,2023-10-28,Este,Entrada,Nachos,5,48.74,243.7
OCT0070,2023-10-28,Norte,Entrada,Aros de cebolla,5,108.37,541.85
OCT0071,2023-10-05,Centro,Bebida,Cerveza,4,121.04,484.16
OCT0072,2023-10-20,Norte,Postre,Pastel,5,103.22,516.1
