ID_Venta,Fecha,Sucursal,Categoría,Producto,Cantidad,Precio_Unitario,Total
SEP0001,2023-09-02,Este,Comida,Hamburguesa,4,158.21,632.84
SEP0002,2023-09-04,Norte,Entrada,Pan de ajo,2,41.76,83.52
SEP0003,2023-09-12,Sur,Postre,Flan,5,108.58,542.9
SEP0004,2023-09-24,Sur,Postre,Brownie,5,244.79,1223.95
SEP0005,2023-09-23,Este,Comida,Pizza,4,210.27,841.08
SEP0006,2023-09-19,Norte,Postre,Pastel,2,44.61,89.22
SEP0007,2023-09-11,Oeste,Postre,Brownie,4,78.1,312.4
SEP0008,2023-09-21,Sur,Bebida,Refresco,4,108.11,432.44
SEP0009,2023-09-10,Norte,Entrada,Pan de ajo,5,231.74,1158.7
SEP0010,2023-09-25,Oeste,Entrada,Nachos,4,52.98,211.92
SEP0011,2023-09-13,Sur,Bebida,Refresco,1,60.08,60.08
SEP0012,2023-09-20,Norte,Postre,Flan,2,171.36,342.72
SEP0013,2023-09-03,Centro,Bebida,Agua,3,49.9,149.7
SEP0014,2023-09-14,Este,Postre,Flan,5,148.26,741.3
SEP0015,2023-09-15,Sur,Entrada,Nachos,2,238.28,476.56
SEP0016,2023-09-08,Este,Postre,Brownie,3,216.24,648.72
SEP0017,2023-09-04,Sur,Bebida,Refresco,5,105.98,529.9
SEP0018,2023-09-24,Sur,Postre,Pastel,4,232.75,931.0
SEP0019,2023-09-10,Sur,Comida,Ensalada,1,44.0,44.0
SEP0020,2023-09-08,Oeste,Comida,Pizza,1,227.46,227.46
SEP0021,2023-09-26,Sur,Comida,Ensalada,1,154.2,154.2
SEP0022,2023-09-12,Sur,Comida,Pizza,3,203.3,609.9
SEP0023,2023-09-08,Oeste,Entrada,Aros de cebolla,1,183.79,183.79
SEP0024,2023-09-28,Sur,Postre,Helado,4,182.68,730.72
SEP0025,2023-09-16,Oeste,Comida,Pizza,2,160.13,320.26
SEP0026,2023-09-27,Norte,Entrada,Aros de cebolla,2,176.18,352.36
SEP0027,2023-09-25,Centro,Comida,Pizza,3,123.45,370.35
SEP0028,2023-09-14,Oeste,Entrada,Pan de ajo,1,210.22,210.22
SEP0029,2023-09-13,Centro,Bebida,Café,4,112.96,451.84
SEP0030,2023-09-12,Centro,Entrada,Aros de cebolla,1,121.05,121.05
SEP0031,2023-09-22,Sur,Bebida,Agua,2,194.25,388.5
SEP0032,2023-09-20,Norte,Bebida,Refresco,2,59.57,119.14
SEP0033,2023-09-13,Centro,Bebida,Agua,5,165.02,825.1
SEP0034,2023-09-06,Oeste,Comida,Pizza,4,189.54,758.16
SEP0035,2023-09-03,Centro,Bebida,Café,5,137.41,687.05
SEP0036,2023-09-05,Centro,Comida,Ensalada,5,220.13,1100.65
SEP0037,2023-09-06,Este,Postre,Helado,3,169.85,509.55
SEP0038,2023-09-02,Norte,Comida,Tacos,5,94.63,473.15
SEP0039,2023-09-17,Centro,Bebida,Cerveza,3,200.91,602.73
SEP0040,2023-09-01,Este,Entrada,Aros de cebolla,3,217.32,651.96
SEP0041,2023-09-08,Centro,Postre,Helado,4,221.08,884.32
SEP0042,2023-09-20,Norte,Comida,Pasta,4,114.42,457.68
SEP0043,2023-09-14,Sur,Entrada,Nachos,5,44.63,223.15
SEP0044,2023-09-29,Oeste,Entrada,Pan de ajo,3,169.42,508.26
SEP0045,2023-09-23,Este,Bebida,Cerveza,4,136.91,547.64
SEP0046,2023-09-07,Centro,Postre,Pastel,1,95.7,95.7
SEP0047,2023-09-12,Sur,Bebida,Té,2,101.14,202.28
SEP0048,2023-09-24,Sur,Postre,Pastel,2,190.29,380.58
SEP0049,2023-09-12,Este,Postre,Flan,4,222.5,890.0
SEP0050,2023-09-01,Norte,Bebida,Cerveza,5,147.36,736.8
SEP0051,2023-09-28,Norte,Comida,Tacos,2,133.14,266.28
SEP0052,2023-09-18,Este,Comida,Tacos,3,233.53,700.59
SEP0053,2023-09-04,Oeste,Comida,Tacos,3,181.06,543.18
SEP0054,2023-09-04,Sur,Bebida,Cerveza,1,108.67,108.67
SEP0055,2023-09-20,Sur,Entrada,Pan de ajo,5,143.75,718.75
SEP0056,2023-09-12,Sur,Bebida,Refresco,1,59.48,59.48
SEP0057,2023-09-23,Este,Comida,Pasta,2,100.89,201.78
SEP0058,2023-09-13,Oeste,Entrada,Pan de ajo,1,125.8,125.8
SEP0059,2023-09-18,Oeste,Bebida,Refresco,3,183.64,550.92
SEP0060,2023-09-14,Este,Comida,Hamburguesa,5,51.98,259.9
SEP0061,2023-09-27,Centro,Bebida,Refresco,5,98.64,493.2
SEP0062,2023-09-27,Norte,Postre,Pastel,3,236.43,709.29
SEP0063,2023-09-23,Centro,Entrada,Aros de cebolla,2,147.67,295.34
SEP0064,2023-09-18,Oeste,Comida,Ensalada,1,205.65,205.65
SEP0065,2023-09-26,Oeste,Entrada,Nachos,4,39.97,159.88
SEP0066,2023-09-09,Este,Postre,Brownie,3,96.26,288.78
SEP0067,2023-09-12,Norte,Comida,Ensalada,1,171.31,171.31
SEP0068,2023-09-14,Centro,Entrada,Pan de ajo,2,174.44,348.88
SEP0069,2023-09-24,Centro,Postre,Flan,2,69.43,138.86
SEP0070,2023-09-24,Centro,Entrada,Nachos,2,41.61,83.22
SEP0071,2023-09-22,Sur,Bebida,Té,3,124.98,374.94
SEP0072,2023-09-24,Norte,Comida,Tacos,2,231.41,462.82
SEP0073,2023-09-25,Centro,Postre,Pastel,2,51.08,102.16
SEP0074,2023-09-24,Sur,Entrada,Aros de cebolla,1,135.69,135.69
SEP0075,2023-09-09,Oeste,Comida,Tacos,5,100.35,501.75
SEP0076,2023-09-21,Este,Bebida,Refresco,4,51.0,204.0
SEP0077,2023-09-11,Norte,Bebida,Cerveza,5,216.74,1083.7
SEP0078,2023-09-12,Centro,Bebida,Cerveza,3,217.63,652.89
SEP0079,2023-09-29,Norte,Comida,Tacos,5,81.06,405.3
SEP0080,2023-09-16,Norte,Bebida,Cerveza,4,40.38,161.52
SEP0081,2023-09-03,Centro,Comida,Hamburguesa,5,241.39,1206.95
SEP0082,2023-09-10,Oeste,Comida,Hamburguesa,3,196.8,590.4
SEP0083,2023-09-14,Norte,Postre,Helado,1,79.2,79.2
SEP0084,2023-09-09,Este,Bebida,Cerveza,5,110.0,550.0
