ID_Venta	Fecha	Producto	Categoría	Cantidad	Precio_Unitario	Total
V00001	2025-07-08	Bolso	Accesorios	3	1361.33	4083.99
V00002	2025-07-08	Reloj	Accesorios	2	1159.14	2318.28
V00003	2025-07-08	Pantalón	Moda	1	1239.7	1239.7
V00004	2025-07-08	Bolso	Moda	2	319.16	638.32
V00005	2025-07-08	Pantalón	Accesorios	2	1501.94	3003.88
V00006	2025-07-08	Bolso	Calzado	3	1101.14	3303.42
V00007	2025-07-08	Bolso	Moda	2	1317.8	2635.6
V00008	2025-07-08	Pantalón	Calzado	3	2287.07	6861.21
V00009	2025-07-08	Bolso	Calzado	1	345.53	345.53
V00010	2025-07-08	Zapato	Moda	3	348.71	1046.13
V00011	2025-07-08	Bolso	Moda	3	645.75	1937.25
V00012	2025-07-08	Pantalón	Accesorios	4	1908.51	7634.04
V00013	2025-07-08	Zapato	Moda	1	1962.47	1962.47
V00014	2025-07-08	Reloj	Calzado	2	2179.76	4359.52
V00015	2025-07-08	Pantalón	Moda	4	1331.22	5324.88
V00016	2025-07-08	Camisa	Calzado	2	1173.71	2347.42
V00017	2025-07-08	Zapato	Accesorios	3	1854.66	5563.98
V00018	2025-07-08	Zapato	Moda	1	1808.4	1808.4
V00019	2025-07-08	Camisa	Moda	2	1117.81	2235.62
V00020	2025-07-08	Reloj	Calzado	3	953.72	2861.16
V00021	2025-07-08	Camisa	Accesorios	3	1311.84	3935.52
V00022	2025-07-08	Camisa	Moda	4	1240.24	4960.96
V00023	2025-07-08	Pantalón	Calzado	3	1553.8	4661.4
V00024	2025-07-08	Pantalón	Accesorios	3	1629.89	4889.67
V00025	2025-07-08	Reloj	Calzado	4	1078.89	4315.56
V00026	2025-07-08	Reloj	Calzado	2	2226.86	4453.72
V00027	2025-07-08	Camisa	Accesorios	4	1896.43	7585.72
V00028	2025-07-08	Pantalón	Calzado	2	1798.32	3596.64
V00029	2025-07-08	Zapato	Accesorios	2	1463.98	2927.96
V00030	2025-07-08	Pantalón	Moda	2	2284.92	4569.84
V00031	2025-07-08	Reloj	Moda	4	2422.98	9691.92
V00032	2025-07-08	Camisa	Calzado	1	1346.75	1346.75
V00033	2025-07-08	Bolso	Accesorios	3	2319.87	6959.61
V00034	2025-07-08	Zapato	Calzado	3	1986.18	5958.54
V00035	2025-07-08	Pantalón	Moda	4	1902.48	7609.92
V00036	2025-07-08	Pantalón	Accesorios	2	518.46	1036.92
V00037	2025-07-08	Bolso	Calzado	1	809.09	809.09
V00038	2025-07-08	Zapato	Moda	2	1070.47	2140.94
V00039	2025-07-08	Camisa	Calzado	2	1470.17	2940.34
